id	citation_pmid	citation_url	citation_desc
trm_4b4a537644d76	8245143	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=8245143&retmode=ref&cmd=prlinks	Is the Continuous Performance Task a valuable research tool for use with children with Attention-Deficit-Hyperactivity Disorder?
trm_4b4a537644d76	9735617	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=9735617&retmode=ref&cmd=prlinks	Associations between event-related potentials and measures of attention and inhibition in the Continuous Performance Task in children with ADHD and normal controls.
trm_4b4a537644d76	14589726	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=14589726&retmode=ref&cmd=prlinks	The continuous performance test: a window on the neural substrates for attention?
trm_4b65e5e2ab3ca	17128615	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=17128615&retmode=ref&cmd=prlinks	Are age-of-acquisition effects on object naming due simply to differences in object recognition? Comments on levelt (2002).
trm_4b65e5e2ab3ca	17941350	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=17941350&retmode=ref&cmd=prlinks	Selective naming (and comprehension) deficits in Alzheimer&#39;s disease?
trm_4b7497a289534	3722347	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=3722347&retmode=ref&cmd=prlinks	Behavioral observations during performance of the WAIS Block Design Test related to abnormalities of regional cerebral blood flow in organic dementia.
trm_4b7497a289534	4811927	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=4811927&retmode=ref&cmd=prlinks	Improvement in WAIS block design performance as a function of recovery from alcoholism.
trm_4b7497a289534	18301959	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=18301959&retmode=ref&cmd=prlinks	An fMRI-study of locally oriented perception in autism: altered early visual processing of the block design test.
trm_4b7497a289534	15801388	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=15801388&retmode=ref&cmd=prlinks	Age related differences in the strategies used by middle aged adults to solve a block design task.
trm_4b7497a289534	8294523	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=8294523&retmode=ref&cmd=prlinks	Why do autistic individuals show superior performance on the block design task?
trm_4b749b8829eee	21519531	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=21519531&retmode=ref&cmd=prlinks	Different Patterns of Emotional Eating and Visuospatial Deficits Whereas Shared Risk Factors Related with Social Support between Anorexia Nervosa and Bulimia Nervosa.
trm_4b749b8829eee	9255696	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=9255696&retmode=ref&cmd=prlinks	Are people with autism and Asperger syndrome faster than normal on the Embedded Figures Test?
trm_4b75ea4ddd896	12184555	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=12184555&retmode=ref&cmd=prlinks	Limitations in advance task preparation: switching the relevant stimulus dimension in speeded same-different comparisons.
trm_4b75ea4ddd896	6452496	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=6452496&retmode=ref&cmd=prlinks	Irrelevant differences in the
trm_4b843655d5d75	19291380	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=19291380&retmode=ref&cmd=prlinks	Inhibition and the validity of the Stroop task for children with autism.
trm_4b86c2e871b14			Longitudinal course of rapid naming in disabled and nondisabled readers
trm_4b86c2e871b14	9529781	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=9529781&retmode=ref&cmd=prlinks	Selective predictive value of rapid automatized naming in poor readers.
trm_4b86c473a7166	17402826	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=17402826&retmode=ref&cmd=prlinks	Neuropsychological functioning of girls with attention-deficit/hyperactivity disorder followed prospectively into adolescence: evidence for continuing deficits?
trm_4b86c473a7166	557504	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=557504&retmode=ref&cmd=prlinks	Prediction of the reading and spelling performances of normal and retarded readers: a four-year follow-up.
trm_4b86c55f3d5df	11547959	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=11547959&retmode=ref&cmd=prlinks	The effect of risperidone on cognitive functioning in a sample of Asian patients with schizophrenia in Singapore.
trm_4b86c55f3d5df	11280422	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=11280422&retmode=ref&cmd=prlinks	Executive functioning in high-functioning children with autism.
trm_4b86dbcd8ff78	12742102	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=12742102&retmode=ref&cmd=prlinks	Attentional selection of superimposed surfaces cannot be explained by modulation of the gain of color channels.
trm_4b86dbcd8ff78			The influence of scene organization on attention: Psychophysics and electrophysiology.
trm_4b94affc43245	15768857	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=15768857&retmode=ref&cmd=prlinks	The WASI matrix reasoning subtest: performance in traumatic brain injury, stroke, and dementia.
trm_4b94affc43245	14690807	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=14690807&retmode=ref&cmd=prlinks	Exploratory factor analysis of the Wechsler Abbreviated Scale of Intelligence (WASI) in adult standardization and clinical samples.
trm_4b94b12bf0eb2	20924914	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=20924914&retmode=ref&cmd=prlinks	Comparison of Wechsler Memory Scale-Fourth Edition (WMS-IV) and Third Edition (WMS-III) dimensional structures: improved ability to evaluate auditory and visual constructs.
trm_4b94b12bf0eb2	20177123	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=20177123&retmode=ref&cmd=prlinks	Testing the limits: cautions and concerns regarding the new Wechsler IQ and Memory scales.
trm_4b94b12bf0eb2	20947705	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=20947705&retmode=ref&cmd=prlinks	Advanced Clinical Interpretation of the WAIS-IV and WMS-IV: Prevalence of Low Scores Varies by Level of Intelligence and Years of Education.
trm_4b9568b2865c2	16690546	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=16690546&retmode=ref&cmd=prlinks	Test-retest norms and reliable change indices for the MicroCog Battery in a healthy community population over 50 years of age.
trm_4b9568b2865c2	11572473	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=11572473&retmode=ref&cmd=prlinks	MicroCog: assessment of cognitive functioning.
trm_4b9568b2865c2	19638765	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=19638765&retmode=ref&cmd=prlinks	Do physicians referred for competency evaluations have underlying cognitive problems?
trm_4c3e0a9576c3b	10868248	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=10868248&retmode=ref&cmd=prlinks	Does the letter number sequencing task measure anything more than digit span?
trm_4c3e0a9576c3b	11771633	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=11771633&retmode=ref&cmd=prlinks	Criterion validity of new WAIS-II subtest scores after traumatic brain injury.
trm_4c3e0a9576c3b	20190871	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=20190871&retmode=ref&cmd=prlinks	Modeling Working Memory Tasks on the Item Level.
trm_4c3e0add96550	18938009	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=18938009&retmode=ref&cmd=prlinks	Development of eye-movement control.
trm_4c3e0add96550	7622986	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=7622986&retmode=ref&cmd=prlinks	Working memory in infancy: six-month-olds&#39; performance on two versions of the oculomotor delayed response task.
trm_4c3e0add96550	1449384	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=1449384&retmode=ref&cmd=prlinks	Schizophrenics show spatial working memory deficits.
trm_4c40d10cd776e	10502865	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=10502865&retmode=ref&cmd=prlinks	The reliability and stability of the Turner and Engle working memory task.
trm_4c40d10cd776e	16405146	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=16405146&retmode=ref&cmd=prlinks	An automated version of the operation span task.
trm_4c40d168898db	12079578	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=12079578&retmode=ref&cmd=prlinks	Cognitive aging and inhibitory efficiency in the Daneman and Carpenter&#39;s working memory task.
trm_4c40d168898db	17910734	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=17910734&retmode=ref&cmd=prlinks	Effects of incentive on working memory capacity: behavioral and pupillometric data.
trm_4c40d168898db	10855046	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=10855046&retmode=ref&cmd=prlinks	The nature of age-related decline on the reading span task.
trm_4c40d1d16071e	18545677	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=18545677&retmode=ref&cmd=prlinks	Inhibition control and working memory capacity in children with SLI.
trm_4c40d1d16071e	15499879	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=15499879&retmode=ref&cmd=prlinks	A subgroup analysis of working memory in children with reading disabilities: domain-general or domain-specific deficiency?
trm_4c40d2a93ea15	14589726	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=14589726&retmode=ref&cmd=prlinks	The continuous performance test: a window on the neural substrates for attention?
trm_4c40d2a93ea15		http://www.cogtest.com/tests/cognitive_int/cpt_axflash1.html	Continuous Performance Test - AX
trm_4c40d2a93ea15	11231835	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=11231835&retmode=ref&cmd=prlinks	Selective deficits in prefrontal cortex function in medication-naive patients with schizophrenia.
trm_4c40d325977f0		https://www.youtube.com/watch?v=iK6OeGWHyOs	Example for self ordered pointing task
trm_4c40d325977f0	18778136	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=18778136&retmode=ref&cmd=prlinks	Working memory capacity moderates the predictive effects of drug-related associations on substance use.
trm_4c40d325977f0	13680440	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=13680440&retmode=ref&cmd=prlinks	Self-ordered pointing performance following severe closed-head injury.
trm_4c40d325977f0	17321716	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=17321716&retmode=ref&cmd=prlinks	The reliability and validity of the self-ordered pointing task.
trm_4c40d325977f0	15989932	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=15989932&retmode=ref&cmd=prlinks	Self-ordered pointing in children with autism: failure to use verbal mediation in the service of working memory?
trm_4c40d4054f38b	14002586	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=14002586&retmode=ref&cmd=prlinks	Keeping track of several things at once.
trm_4c40d4054f38b	16707360	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=16707360&retmode=ref&cmd=prlinks	Executive functions and achievements in school: Shifting, updating, inhibition, and working memory.
trm_4c40d4054f38b	16316723	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=16316723&retmode=ref&cmd=prlinks	Chronic ecstasy (MDMA) use is associated with deficits in task-switching but not inhibition or memory updating executive functions.
trm_4c40d4054f38b	16466426	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=16466426&retmode=ref&cmd=prlinks	Not all executive functions are related to intelligence.
trm_4c40d4054f38b	10945922	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=10945922&retmode=ref&cmd=prlinks	The unity and diversity of executive functions and their contributions to complex
trm_4c8989e1f3df7	22496739	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=22496739&retmode=ref&cmd=prlinks	Characterizing acupuncture stimuli using brain imaging with FMRI - a systematic review and meta-analysis of the literature.
trm_4c8989e1f3df7	17990299	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=17990299&retmode=ref&cmd=prlinks	Functional neuroanatomical investigation of vision-related acupuncture point specificity--a multisession fMRI study.
trm_4c8989e1f3df7	19559684	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=19559684&retmode=ref&cmd=prlinks	Acupuncture mobilizes the brain&#39;s default mode and its anti-correlated network in healthy subjects.
trm_4c8989e1f3df7	18725240	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=18725240&retmode=ref&cmd=prlinks	Experimentally manipulating perceptions regarding acupuncture elicits different responses to the identical acupuncture stimulation.
trm_4c898a20eb254	19117197	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=19117197&retmode=ref&cmd=prlinks	Touching force response of the piezoelectric Braille cell.
trm_4c898a20eb254	20691490	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=20691490&retmode=ref&cmd=prlinks	Linguistic and perceptual-motor contributions to the kinematic properties of the braille reading finger.
trm_4c898a20eb254	11784773	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=11784773&retmode=ref&cmd=prlinks	Adaptive changes in early and late blind: a fMRI study of Braille reading.
trm_4c898a680e424	2121547	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=2121547&retmode=ref&cmd=prlinks	Increase in middle cerebral artery velocity on breath holding: a simplified test of cerebral perfusion reserve.
trm_4c898a680e424	20884013	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=20884013&retmode=ref&cmd=prlinks	Breath holding index in detection of early cognitive decline.
trm_4c898a8fd3afb	19760457	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=19760457&retmode=ref&cmd=prlinks	Age-related differences in laterality of cortical activations in swallowing.
trm_4c898a8fd3afb	12885854	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=12885854&retmode=ref&cmd=prlinks	Age-related changes in brain regional activity during chewing: a functional magnetic resonance imaging study.
trm_4c898a8fd3afb	19762277	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=19762277&retmode=ref&cmd=prlinks	Contingent negative variations associated with command swallowing in humans.
trm_4c898a8fd3afb	19142682	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=19142682&retmode=ref&cmd=prlinks	Effects of age and stimulus on submental mechanomyography signals during swallowing.
trm_4c898acd1f28e	15466298	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=15466298&retmode=ref&cmd=prlinks	Context and behavioral processes in extinction.
trm_4c898acd1f28e	1257783	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=1257783&retmode=ref&cmd=prlinks	Neuronal substrate of classical conditioning in the hippocampus.
trm_4c898acd1f28e	19698779	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=19698779&retmode=ref&cmd=prlinks	The learned immune response: Pavlov and beyond.
trm_4c898acd1f28e	9525860	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=9525860&retmode=ref&cmd=prlinks	Classical conditioning and brain systems: the role of awareness.
trm_4c898b02722d2	1453139	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=1453139&retmode=ref&cmd=prlinks	Counting knowledge and skill in cognitive addition: a comparison of normal and mathematically disabled children.
trm_4c898b02722d2	19423779	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=19423779&retmode=ref&cmd=prlinks	Recruitment of an area involved in eye movements during mental arithmetic.
trm_4c898b02722d2	18768776	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=18768776&retmode=ref&cmd=prlinks	Using kindergarten number sense to predict calculation fluency in second grade.
trm_4c898b29660b0	9758740	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=9758740&retmode=ref&cmd=prlinks	Neural correlates of memory retrieval during recognition memory and cued recall.
trm_4c898b29660b0	9106268	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=9106268&retmode=ref&cmd=prlinks	An event-related potential study of explicit memory on tests of cued recall and recognition.
trm_4c898b4b463aa	1400697	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=1400697&retmode=ref&cmd=prlinks	Out of sight or out of mind? Another look at deception in autism.
trm_4c898b4b463aa	10742652	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=10742652&retmode=ref&cmd=prlinks	Theory of mind abilities of children with schizophrenia, children with autism, and normally developing children.
trm_4c898b4b463aa	1577901	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=1577901&retmode=ref&cmd=prlinks	Deception and sabotage in autistic, retarded and normal children.
trm_4c898b8c2d071	17651534	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=17651534&retmode=ref&cmd=prlinks	Reasoning in people with obsessive-compulsive disorder.
trm_4c898b8c2d071	21106478	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=21106478&retmode=ref&cmd=prlinks	The effect of negative emotion on deductive reasoning.
trm_4c898bbab4fd4
trm_4c898be57fcbc	10542825	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=10542825&retmode=ref&cmd=prlinks	Clock drawing is sensitive to executive control: a comparison of six methods.
trm_4c898be57fcbc	9598672	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=9598672&retmode=ref&cmd=prlinks	CLOX: an executive clock drawing task.
trm_4c898be57fcbc	21462066	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=21462066&retmode=ref&cmd=prlinks	Circle drawing does not exhibit auditory-motor synchronization.
trm_4c898c0786246	20678532	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=20678532&retmode=ref&cmd=prlinks	Delay discounting moderates the effect of food reinforcement on energy intake among non-obese women.
trm_4c898c0786246	8463951	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=8463951&retmode=ref&cmd=prlinks	Self-awareness, task failure, and disinhibition: how attentional focus affects eating.
trm_4c898c33ee5f8	8134342	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=8134342&retmode=ref&cmd=prlinks	Hemispheric encoding/retrieval asymmetry in episodic memory: positron emission tomography findings.
trm_4c898c33ee5f8	7666172	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=7666172&retmode=ref&cmd=prlinks	Semantic encoding and retrieval in the left inferior prefrontal cortex: a functional MRI study of task difficulty and process specificity.
trm_4c898c8bf1b4f	11277563	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=11277563&retmode=ref&cmd=prlinks	Entorhinal cortex disruption causes memory deficit in early Alzheimer&#39;s disease as shown by PET.
trm_4c898c8bf1b4f	21514358	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=21514358&retmode=ref&cmd=prlinks	Changes in sleep theta rhythm are related to episodic memory impairment in early Alzheimer&#39;s disease.
trm_4c898cb4ada49	21410744	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=21410744&retmode=ref&cmd=prlinks	The effects of visual degradation on face discrimination.
trm_4c898da401420	9522254	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=9522254&retmode=ref&cmd=prlinks	Scanning eye movements made when viewing film: preliminary observations.
trm_4c898da401420	5841371	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=5841371&retmode=ref&cmd=prlinks	Mood change as a function of stress of protagonist and degree of identification in a film-viewing situation.
trm_4c898da401420	21531382	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=21531382&retmode=ref&cmd=prlinks	Mood-Linked Responses in Medial Prefrontal Cortex Predict Relapse in Patients with Recurrent Unipolar Depression.
trm_4c898f079d05e	10978692	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=10978692&retmode=ref&cmd=prlinks	Cortical activations during paced finger-tapping applying visual and auditory pacing stimuli.
trm_4c898f079d05e	15814482	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=15814482&retmode=ref&cmd=prlinks	Sensitivity and specificity of finger tapping test scores for the detection of suspect effort.
trm_4c898f079d05e	21494919	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=21494919&retmode=ref&cmd=prlinks	Measuring motor speed through typing: a surrogate for the finger tapping test.
trm_4c898f72228f3	21559946	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=21559946&retmode=ref&cmd=prlinks	Consistent left gaze bias in processing different facial cues.
trm_4c898f72228f3	11690600	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=11690600&retmode=ref&cmd=prlinks	Altered performance on an ocular fixation task in attention-deficit/hyperactivity disorder.
trm_4c898f8f297ac	17260380	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=17260380&retmode=ref&cmd=prlinks	Inability to directly detect magnetic field changes associated with neuronal activity.
trm_4c898f8f297ac	15070770	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=15070770&retmode=ref&cmd=prlinks	Default-mode network activity distinguishes Alzheimer&#39;s disease from healthy aging: evidence from functional MRI.
trm_4c898fad429ed	20445965	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=20445965&retmode=ref&cmd=prlinks	Electroencephalographic reactivity to unimodal and bimodal visual and proprioceptive demands in sensorimotor integration.
trm_4c898fad429ed	18818908	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=18818908&retmode=ref&cmd=prlinks	Decreasing task-related brain activity over repeated functional MRI scans and sessions with no change in performance: implications for serial investigations.
trm_4c898fc6722f4	21156864	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=21156864&retmode=ref&cmd=prlinks	The testing effect in free recall is associated with enhanced organizational processes.
trm_4c898fc6722f4	21262248	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=21262248&retmode=ref&cmd=prlinks	Pre-learning stress differentially affects long-term memory for emotional words, depending on temporal proximity to the learning experience.
trm_4c898fc6722f4	20155557	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=20155557&retmode=ref&cmd=prlinks	Episodic memory and organizational strategy in free recall in unipolar depression: the role of cognitive support and executive functions.
trm_4c898ff0bea97	11728315	http://www.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=11728315&retmode=ref&cmd=prlinks	Grasping the past. delay can improve visuomotor performance.
