cogpo_id	cogpo_label	cogpo_source	cogpo_parent	cogpo_def_chars	scope_class	match_type	match_level	hedtsk_id	hed_task_name	hed_variation_id	hed_variation_name	notes
COGPO_00087	Saccades Paradigm	owl	Behavioral Experimental Paradigm	156	paradigm	close	variation	hedtsk_anti_saccade	Anti-Saccade Task	hedvar_anti_saccade__prosaccade_control_condition	Prosaccade (Control Condition)	Saccade to a target. In the Catalog the prosaccade is the control condition of the Anti-Saccade Task, not a task of its own.
COGPO_00088	Semantic Monitor/Discrimination Paradigm	owl	Behavioral Experimental Paradigm	282	broad_class	close	task	hedtsk_lexical_decision	Lexical Decision Task			Word/pseudoword and semantic-category judgements. Lexical Decision is the word/pseudoword case; Semantic Priming uses the same judgement with a prime.
COGPO_00106	Sequence Recall/Learning Paradigm	owl	Behavioral Experimental Paradigm	224	paradigm	exact	task	hedtsk_motor_sequence_learning	Motor Sequence Learning Task			Same paradigm. Serial Reaction Time is the Catalog's implicit version and maps here as close.
COGPO_00097	Simon Task Paradigm	owl	Behavioral Experimental Paradigm	306	paradigm	exact	task	hedtsk_simon	Simon Task			Same paradigm.
COGPO_00108	Spatial/Location Discrimination Paradigm	owl	Behavioral Experimental Paradigm	225	broad_class	none						Discrimination by location, orientation or size. A perceptual class with no Catalog counterpart.
COGPO_00101	Sternberg Task Paradigm	owl	Behavioral Experimental Paradigm	258	paradigm	exact	task	hedtsk_sternberg_item_recognition	Sternberg Item Recognition Task			Same paradigm.
COGPO_00092	Stroop Task Paradigm	owl	Behavioral Experimental Paradigm	294	paradigm	exact	task	hedtsk_stroop_color_word	Stroop Color-Word Task			Same paradigm. CogPO folds in Counting Stroop (a Catalog variation) and Emotional Stroop (a separate Catalog task, mapped here as close).
COGPO_00102	Subjective Emotional Picture Discrimination Paradigm	owl	Behavioral Experimental Paradigm	269	paradigm	close	task	hedtsk_affective_picture_viewing	Affective Picture Viewing Task			Judging or rating emotional pictures. The Catalog's Affective Picture Viewing Task includes the rating procedure.
COGPO_00105	Syntactic Discrimination Paradigm	owl	Behavioral Experimental Paradigm	273	paradigm	close	task	hedtsk_sentence_comprehension	Sentence Comprehension Task			Grammaticality judgement. The Catalog's Sentence Comprehension Task covers syntactic processing more broadly.
COGPO_00096	Tactile Monitor/Discrimination Paradigm	owl	Behavioral Experimental Paradigm	414	broad_class	none						Tactile discrimination. The Catalog has no somatosensory discrimination task; Body Ownership Illusion is tactile but tests ownership.
COGPO_00107	Task Switching Paradigm	owl	Behavioral Experimental Paradigm	200	paradigm	exact	task	hedtsk_task_switching	Task Switching Task			Same paradigm.
COGPO_00104	Theory of Mind Task Paradigm	owl	Behavioral Experimental Paradigm	248	broad_class	close	task	hedtsk_false_belief	False Belief Task			Any theory-of-mind task. False Belief (alias Theory of Mind Task) is the primary; Reading the Mind in the Eyes also falls here.
COGPO_00090	Tone Monitor/Discrimination Paradigm	owl	Behavioral Experimental Paradigm	276	broad_class	related	task	hedtsk_auditory_masking	Auditory Masking Task			Tone discrimination by order, timing, pitch or amplitude. Auditory Masking (tone-in-noise detection) and Mismatch Negativity use tones but are different paradigms.
COGPO_00091	Transcranial Magnetic Stimulation Paradigm	owl	Behavioral Experimental Paradigm	149	physiological	none						Brain stimulation; an intervention, not a task.
COGPO_00089	Vibrotactile Monitor/Discrimination Paradigm	owl	Behavioral Experimental Paradigm	163	physiological	none						Vibrotactile stimulation with no task; a stimulation procedure.
COGPO_00094	Video Games Paradigm	owl	Behavioral Experimental Paradigm	105	paradigm	none						Video-game play. Not in the Catalog.
COGPO_00099	Visual Distractor/Visual Attention Paradigm	owl	Behavioral Experimental Paradigm	396	broad_class	related	task	hedtsk_visual_search	Visual Search Task			CogPO's own catch-all for visual attention. Visual Search, Change Detection, Psychomotor Vigilance, Useful Field of View and RSVP all fall in it; none is its counterpart.
COGPO_00095	Visual Pursuit/Tracking Paradigm	owl	Behavioral Experimental Paradigm	191	paradigm	close	task	hedtsk_multiple_object_tracking	Multiple Object Tracking Task			Tracking moving targets. Multiple Object Tracking is the Catalog's attentive-tracking task; CogPO's class also covers smooth-pursuit eye movement.
COGPO_00103	Whistling Paradigm	owl	Behavioral Experimental Paradigm	97	motor_act	none						Whistling; a motor act.
COGPO_00098	Wisconsin Card Sorting Test Paradigm	owl	Behavioral Experimental Paradigm	515	paradigm	exact	task	hedtsk_wisconsin_card_sorting	Wisconsin Card Sorting Task			Same paradigm.
Word_Generation_(Covert)_Paradigm	Word Generation (Covert) Paradigm	owl	Behavioral Experimental Paradigm	378	broad_class	close	variation	hedtsk_verb_generation	Verb Generation Task	hedvar_verb_generation__covert_verb_generation	Covert Verb Generation	Silent verb, category or letter generation. Covert Verb Generation is the Catalog's silent case; Verbal Fluency is overt.
Word_Generation_(Overt)_Paradigm	Word Generation (Overt) Paradigm	owl	Behavioral Experimental Paradigm	374	broad_class	close	task	hedtsk_verbal_fluency	Verbal Fluency Task			Aloud verb, category or letter generation. Verbal Fluency covers letter and category fluency; Verb Generation is the semantic case. CogPO splits by response modality, the Catalog does not.
Word_Stem_Completion_(Covert)_Paradigm	Word Stem Completion (Covert) Paradigm	owl	Behavioral Experimental Paradigm	158	paradigm	none						Implicit-memory stem completion. A genuine paradigm the Catalog does not list.
Word_Stem_Completion_(Overt)_Paradigm	Word Stem Completion (Overt) Paradigm	owl	Behavioral Experimental Paradigm	157	paradigm	none						Implicit-memory stem completion, aloud. Not in the Catalog.
COGPO_00100	Writing Paradigm	owl	Behavioral Experimental Paradigm	148	motor_act	none						Handwriting; a motor act.
COGPO_00072	Auditory Oddball Paradigm	owl	Oddball Discrimination Paradigm	98	paradigm	exact	variation	hedtsk_oddball	Oddball Task	hedvar_oddball__two_stimulus_auditory_oddball	Two-Stimulus Auditory Oddball	Auditory Oddball is an alias of the Catalog's Oddball Task; its standard form is the two-stimulus auditory variation.
COGPO_00064	Visual Oddball Paradigm	owl	Oddball Discrimination Paradigm	96	paradigm	exact	variation	hedtsk_oddball	Oddball Task	hedvar_oddball__visual_oddball	Visual Oddball	The Catalog's Visual Oddball variation.
Delayed_Match_To_Sample_Paradigm	Delayed Match To Sample Paradigm	wiki	Behavioral Experimental Paradigm	294	paradigm	exact	task	hedtsk_delayed_match_to_sample	Delayed Match-to-Sample Task			Same paradigm. On the CogPO wiki only; the OWL release has Delayed Non Match To Sample alone.
Sleep_Paradigm	Sleep Paradigm	wiki	Behavioral Experimental Paradigm	103	physiological	none						Instructed sleep; a state, not a task. On the CogPO wiki only.
Tower_of_London_Paradigm	Tower of London Paradigm	wiki	Behavioral Experimental Paradigm	354	paradigm	exact	task	hedtsk_tower_of_london	Tower of London Task			Same paradigm. On the CogPO wiki only.
