hedtsk_id	hed_task_name	match_type	atlas_id	atlas_name	atlas_def_chars	atlas_concept_count	atlas_entry_count	notes
hedtsk_self_paced_reading	Self-Paced Reading Task	none					1	No self-paced or moving-window reading entry
hedtsk_self_referential_encoding	Self-Referential Encoding Task	none						No self-referential encoding entry
hedtsk_semantic_priming	Semantic Priming Task	close	trm_553e73e29cf7d	contextual semantic priming task	1040	1	2	Atlas entry is contextual semantic priming, a narrower paradigm
hedtsk_sentence_comprehension	Sentence Comprehension Task	none					1	Atlas syntactic task is generic; Birkbeck test is a clinical instrument
hedtsk_serial_reaction_time	Serial Reaction Time Task	exact	trm_4f241c735e7f6	serial reaction time task	4	1	3	Definition is absent, stored as the string None
hedtsk_simon	Simon Task	exact	tsk_4a57abb949dbb	Simon task	264	7	1	
hedtsk_social_incentive_delay	Social Incentive Delay Task	none						Only the monetary version exists in the Atlas
hedtsk_source_memory	Source Memory Task	exact	tsk_4a57abb949dd6	source memory test	386	4	1	
hedtsk_sternberg_item_recognition	Sternberg Item Recognition Task	exact	trm_551f0a8b5ba2c	Sternberg Item Recognition Task	278	3	4	Four Sternberg variants exist; none is marked canonical
hedtsk_stop_signal	Stop-Signal Task	exact	tsk_4a57abb949e1a	stop signal task	369	8	6	Eight stop-signal entries exist
hedtsk_stroop_color_word	Stroop Color-Word Task	exact	trm_4b1968619b00b	color-word stroop task	269	2	6	Generic Stroop task tsk_4a57abb949e27 also exists
hedtsk_sustained_attention_to_response	Sustained Attention to Response Task	exact	trm_4da86cfe8cf1b	sustained attention to response task	118	3	1	
hedtsk_task_switching	Task Switching Task	exact	tsk_4a57abb949e8a	task-switching 	172	2	5	Set-shifting and alternating-runs exist as separate entries
hedtsk_think_no_think	Think/No-Think Task	exact	trm_54f93101b2fd8	think/no-think task	131		1	Zero concepts
hedtsk_tower_of_london	Tower of London Task	exact	trm_4da87e439c411	Tower of London	138	2	3	
hedtsk_trail_making	Trail Making Task	exact	tsk_4a57abb949ec0	Trail Making Test A and B	466	3	1	
hedtsk_trust_game	Trust Game Task	exact	tsk_uzol7erTzr9Ix	Trust game (TG)	1497		1	1497-char definition but zero concepts
hedtsk_two_stage_decision	Two-Stage Decision Task	exact	trm_5667451917a34	2-stage decision task	778		2	Duplicated as Two-Stage Task tsk_Jdo0KE737b9N8
hedtsk_ultimatum_game	Ultimatum Game Task	exact	trm_553e8882e3cb6	Ultimatum Game (UG)	185		1	Zero concepts
hedtsk_useful_field_of_view	Useful Field of View Task	none						No UFOV entry
hedtsk_verb_generation	Verb Generation Task	exact	trm_4f24183fe80c6	verb generation task	82		2	Zero concepts
hedtsk_verbal_fluency	Verbal Fluency Task	exact	trm_4f240f1c740da	verbal fluency task	48		6	Six fluency entries exist: verbal, semantic, phonemic, category, letter, word
hedtsk_virtual_morris_water_maze	Virtual Morris Water Maze Task	close	trm_4da890a9bd7a3	Morris water maze	174	1	1	Atlas entry is the animal Morris water maze, not the virtual human version
hedtsk_virtual_radial_arm_maze	Virtual Radial Arm Maze Task	none					1	No radial arm maze entry; Atlas navigation entries are Morris, Porteus and zoo map
hedtsk_visual_masking	Visual Masking Task	exact	trm_4a3fd79d09b6d	backward masking	226	3	1	Atlas name is backward masking
hedtsk_visual_search	Visual Search Task	exact	trm_4f2447fe67fb9	visual search task	4	3	3	Definition is absent, stored as the string None
hedtsk_wason_selection	Wason Selection Task	exact	trm_4f2449bdcb0b1	Wason card selection task	99	2	1	
hedtsk_weapons_identification	Weapons Identification Task	none						No weapons identification or shooter bias entry
hedtsk_wisconsin_card_sorting	Wisconsin Card Sorting Task	exact	tsk_4a57abb949f21	Wisconsin card sorting test	516	5	1	
