facet	value	label	definition	source	cogpo_id	hed_tags	hed_note
response_modality	torso	Torso	Response made with the torso.	cogpo_wiki	Torso	Torso	Exact tag. On the CogPO wiki; not among the OWL's FMA classes.
response_modality	finger	Finger	Response made with one or more fingers.	catalog		Finger	Exact tag. Added because the Catalog's manual tasks are mostly finger responses.
response_kind	button_press	Button press	To press a button or buttons with the hand or foot.	cogpo	Button Press	(Press, Push-button)	Press is the action; Push-button, Keyboard-key or Mouse-button the device pressed.
response_kind	saccade	Saccade	A rapid eye movement from one fixation point to another.	cogpo	COGPO_00142	Saccade	Exact tag (Move-eyes/Saccade).
response_kind	blink	Blink	To open and close the eye.	cogpo	COGPO_00137	Blink	Exact tag.
response_kind	speech	Speech	Oral communication; something spoken.	cogpo	COGPO_00149	Speak	Exact tag (Communicate-vocally/Speak).
response_kind	finger_tapping	Finger tapping	Repetitive adduction and abduction of one or more fingers or thumbs.	cogpo	Finger Tapping	(Press, Finger)	Nearest tags; HED has no tap action.
response_kind	point	Point	To direct the finger at, to or upon something.	cogpo	COGPO_00145	Point	Exact tag.
response_kind	grasp	Grasp	To seize and hold by clasping with the fingers.	cogpo	Grasp	Grasp	Exact tag.
response_kind	manipulate	Manipulate	To handle or use skillfully in a process or action.	cogpo	COGPO_00146	Move-upper-extremity	Nearest parent; HED has Touch, Hold-down, Lift and Reach as children.
response_kind	draw	Draw	To compose or create a picture in lines.	cogpo	COGPO_00139		No HED action; Drawing exists only as an Image item.
response_kind	write	Write	To trace or form characters, letters or words on a surface.	cogpo	COGPO_00143	Write	Exact tag (Perform/Write).
response_kind	drink	Drink	To take liquid into the mouth and swallow it.	cogpo	COGPO_00141		No HED action; Swallow is the nearest.
response_kind	swallow	Swallow	To take into the stomach through the throat by voluntary muscular action.	cogpo	COGPO_00144	Swallow	Exact tag.
response_kind	breath_hold	Breath hold	Suspension of external breathing.	cogpo	COGPO_00138	Hold-breath	Exact tag (Breathe/Hold-breath).
response_kind	breathe	Breathe	To breathe normally.	cogpo_wiki	Breathe_Response	Breathe	Exact tag.
response_kind	flexion_or_extension	Flexion or extension	Repetitive adduction and abduction of a body part other than the fingers and thumbs (OWL label: Extension).	cogpo	COGPO_00140	Flex, Move-body-part	Flex is under Move-body; Move-body-part covers the limb.
response_kind	micturate	Micturate	To pass urine.	cogpo	COGPO_00150		No HED action; out of the Catalog's scope in any case.
response_kind	smile	Smile	To assume a facial expression with the corners of the mouth turned up.	cogpo	COGPO_00148	Smile	Exact tag (Communicate-gesturally/Smile).
response_kind	whistle	Whistle	To make a clear musical sound by expelling breath through the lips.	cogpo	COGPO_00147	Whistle	Exact tag.
response_kind	key_press	Key press	To press a key on a keyboard or keypad.	catalog		(Press, Keyboard-key)	Added: the Catalog's commonest response device; CogPO folds it into Button Press.
response_kind	mouse_click	Mouse click	To press a button on a computer mouse.	catalog		(Press, Mouse-button)	Added for choice and rating tasks run on a computer.
response_kind	touchscreen_tap	Touchscreen tap	To touch a location on a touchscreen.	catalog		(Touch, Touchscreen)	Added for tablet-administered tasks.
response_kind	rating	Rating	To report a value on a scale, by any device.	catalog			No HED action; the response is a Participant-response event carrying a value.
response_kind	no_response	No response	The participant makes no overt response (passive viewing, listening or rest).	catalog		Passive	Agent-cognitive-state/Passive describes the participant; there is no response event.
instructions	attend	Attend	To pay attention; to listen or watch attentively.	cogpo	COGPO_00027	Attend-to	Exact tag (Think/Attend-to). Task-attentional-demand tags qualify the kind of attention.
instructions	count	Count	The act of counting, enumerating or calculating.	cogpo	COGPO_00017	Count	Exact tag.
instructions	detect	Detect	To discover the existence of; to identify that a specific event has occurred.	cogpo	COGPO_00022	Detect	Exact tag.
instructions	discriminate	Discriminate	To make a distinction between; to differentiate.	cogpo	COGPO_00025	Discriminate	Exact tag.
instructions	encode	Encode	To store a stimulus into memory for later retrieval.	cogpo	COGPO_00031	Encode	Exact tag; Memorize is the deliberate form.
instructions	fixate	Fixate	To focus the eyes or attention on.	cogpo	COGPO_00029	Fixate	Exact tag (Move-eyes/Fixate).
instructions	generate	Generate	To produce or specify by application of a rule, such as naming as many animals as possible.	cogpo	COGPO_00033	Generate	Exact tag.
instructions	imagine	Imagine	To form mental images of things not present to the senses.	cogpo	COGPO_00018	Imagine	Exact tag; Imagined-action is the task-action-type for imagined movement.
instructions	move	Move	To execute an action involving a body part.	cogpo	COGPO_00026	Move	Exact tag.
instructions	name	Name	To identify by name; to generate the name of the stimulus.	cogpo	COGPO_00021	Identify	Nearest tag; HED has no Name action. The response is Speak.
instructions	read	Read	To utter aloud or render in speech written or printed words.	cogpo	COGPO_00019	Read	Exact tag (Perform/Read).
instructions	recall	Recall	To bring back from memory; to remember.	cogpo	COGPO_00020	Recall	Exact tag.
instructions	repeat	Repeat	To say something again.	cogpo	COGPO_00032	Repeat	Exact tag (Perform/Repeat).
instructions	rest	Rest	To become or remain inactive.	cogpo	COGPO_00024	Rest	Exact tag (Perform/Rest); Resting is the agent state.
instructions	sing	Sing	To utter words or sounds with musical modulation of the voice.	cogpo	COGPO_00034	Sing	Exact tag.
instructions	smile	Smile	To assume a smiling facial expression.	cogpo	COGPO_00030	Smile	Exact tag.
instructions	track	Track	To observe or follow the course or progress of.	cogpo	COGPO_00023	Track	Exact tag.
instructions	breath_hold	Breath hold	To hold one's breath.	cogpo_wiki	Breath-Hold_Instructions	Hold-breath	Exact tag.
instructions	breathe	Breathe	To breathe normally.	cogpo_wiki	Breathe_Instructions	Breathe	Exact tag.
instructions	judge	Judge	To form an opinion or estimate about a stimulus, such as its valence, size or truth.	hed		Judge	From HED's Think vocabulary; CogPO folds judgements into Discriminate.
instructions	recognize	Recognize	To decide whether a stimulus was encountered before.	hed		Recognize	From HED's Think vocabulary; CogPO uses Recall for recognition tests too.
instructions	respond	Respond	To make the response the task calls for.	hed		Respond	From HED's Think vocabulary.
instructions	predict	Predict	To state what will happen next.	hed		Predict	From HED's Think vocabulary; needed for the Catalog's learning tasks.
instructions	plan	Plan	To work out a sequence of moves before acting.	hed		Plan	From HED's Think vocabulary; needed for Tower of London.
instructions	learn	Learn	To acquire a rule, sequence or association over trials.	hed		Learn	From HED's Think vocabulary.
instructions	identify	Identify	To say what a stimulus is.	hed		Identify	From HED's Think vocabulary.
instructions	switch_attention	Switch attention	To move attention between tasks, locations or features.	hed		Switch-attention	From HED's Think vocabulary; needed for Task Switching.
instructions	choose	Choose	To select one of several offered options.	catalog		Judge	Nearest tag; HED 8.4.0 has no choose or decide action. Added for the Catalog's decision and economic tasks.
instructions	rate	Rate	To report a value on a scale.	catalog			No HED action. Added for the Catalog's rating tasks.
instructions	withhold	Withhold	To refrain from responding on signal.	catalog			No HED action; Stop-signal and Omitted-action describe the stimulus and the outcome. Added for Go/No-Go and Stop-Signal.
instructions	navigate	Navigate	To find one's way to a goal location.	catalog			No HED action. Added for the virtual maze tasks.
instructions	play	Play	To take part in a game against a partner or the computer.	catalog		Play	Exact tag (Perform/Play). Added for the economic games.
