hedtsk_id	family_id	confidence	rationale
hedtsk_dictator_game	social_cognition_and_games	high	Unilateral allocation to a passive receiver
hedtsk_trust_game	social_cognition_and_games	high	Investment returned at the partner's discretion
hedtsk_prisoners_dilemma	social_cognition_and_games	high	Cooperate or defect with asymmetric payoffs
hedtsk_false_belief	social_cognition_and_games	high	Predict behavior from a protagonist's false belief
hedtsk_reading_the_mind_in_the_eyes	social_cognition_and_games	high	Infer a mental state from the eye region
hedtsk_affective_picture_viewing	emotion	high	View valenced images
hedtsk_emotion_regulation	emotion	high	Reappraise or passively view affective images
hedtsk_facial_emotion_recognition	emotion	high	Identify the emotion category of a face
hedtsk_affective_priming	emotion	review	Evaluative priming; the congruence structure could argue for conflict and interference
hedtsk_lexical_decision	language	high	Word versus nonword judgment
hedtsk_semantic_priming	language	high	Lexical decision with related or unrelated primes
hedtsk_picture_naming	language	high	Name pictured objects
hedtsk_verbal_fluency	language	high	Generate words to a category or letter
hedtsk_verb_generation	language	high	Generate a verb for a presented noun
hedtsk_sentence_comprehension	language	high	Read or hear syntactically ambiguous sentences
hedtsk_self_paced_reading	language	high	Reveal a sentence word by word
hedtsk_phonological_awareness	language	high	Rhyme and phoneme manipulation judgments
hedtsk_virtual_morris_water_maze	spatial_navigation	high	Find a hidden platform in a virtual pool
hedtsk_virtual_radial_arm_maze	spatial_navigation	high	Visit rewarded arms without repetition
hedtsk_mental_rotation	spatial_navigation	review	Rotate objects mentally; could be filed under perceptual judgment
hedtsk_rest	pseudo_tasks	high	Resting block; establishes a baseline state
hedtsk_fixate	pseudo_tasks	high	Fixation block; holds gaze as a baseline or control
hedtsk_take_questionnaire	pseudo_tasks	high	Self-report administration block; the instrument is a parameter
